
=== bad_title cleanup summary ===
  examined            : 49814
  rejected            : 1597
  apply               : False

sample rejections (paper_id | professor | institution | title):
  PAPER-83F518668418 | 吴日         | 南方科技大学                    | 'Wei‐Jing Wu, Ze Wang, Yik‐Ling Winnie Hung, Hei‐Tung Wong, T‐W Dominic Chan*'
  PAPER-1FBA0C11A809 | Matteo Con | 清华大学深圳国际研究生院              | 'M Convertino'
  PAPER-A91E374B80A3 | 陈恺哲 Kai-Jh | 清华大学深圳国际研究生院              | 'Electrochemically'
  PAPER-D0FEC29E7320 | 冯娟         | 清华大学深圳国际研究生院              | 'Negative Price Premium Effect in Online Market — The Impact of Competition and B'
  PAPER-8CA203CA3CD5 | 高岩         | 清华大学深圳国际研究生院              | '城市环境设计'
  PAPER-7164A3543F74 | 冯娟         | 清华大学深圳国际研究生院              | 'Implementing Sponsored Search in Web Search Engines: Computational Evaluation of'
  PAPER-B4A827E71CDA | 郭宇韬        | 清华大学深圳国际研究生院              | '一种计算隔舱式双钢板 - 混凝土组合结构的抗弯承载力的方法（ ZL201910765278.0 ）. 授权发明专利'
  PAPER-758B6FA496DF | 尤海峰        | 清华大学深圳国际研究生院              | 'Limited Attention and Stock Price Drift Following Earnings Announcements and 10-'
  PAPER-A4564D105A2A | 冯娟         | 清华大学深圳国际研究生院              | 'Fly with the Wings of Live stream Selling – Channel Strategies with/out Switchin'
  PAPER-AC893412EEF2 | 冯娟         | 清华大学深圳国际研究生院              | 'Ranked Items Auctions and Online Advertisement'
  PAPER-EF90671505A6 | 冯娟         | 清华大学深圳国际研究生院              | 'Intensity of Competition and Uncertainty, with Kalyan Chatterjee'
  PAPER-6636659029E9 | 高岩         | 清华大学深圳国际研究生院              | '建築數字化編程'
  PAPER-99757066A58E | 侯廷政        | 清华大学深圳国际研究生院              | '38(7): e15687'
  PAPER-258871004B9B | 沈鹏元        | 清华大学深圳国际研究生院              | 'Yi Yunkyu, The feasibility and importance of considering climate change impacts '
  PAPER-A3AA24BCA3BF | 高岩         | 清华大学深圳国际研究生院              | 'Intelligent Making and Robotic Structure'
  PAPER-575C9AF7A510 | 冯娟         | 清华大学深圳国际研究生院              | 'Selling or leasing? Dynamic pricing of software with upgrades, with Kunhao Jia a'
  PAPER-B52ABC7F87FB | 冯娟         | 清华大学深圳国际研究生院              | 'Predicting and Deterring Default with Social Media Information in Peer-to-Peer L'
  PAPER-1806709B281F | 李彬彬        | 清华大学深圳国际研究生院              | 'etc, Study of telescopic gangway motions in time domain during offshore operatio'
  PAPER-8545EE11DBC6 | 李彬彬        | 清华大学深圳国际研究生院              | 'etc, Dynamic controller design for parallel active motion compensated gangway of'
  PAPER-FFED725BFE88 | 夏树涛        | 清华大学深圳国际研究生院              | 'Constructions of Optimal Cyclic (r'
  PAPER-3815E920A196 | 杨舰         | 清华大学深圳国际研究生院              | '严凌纳译《科学家的不端行为》'
  PAPER-63C99DC02B4F | 曾龙         | 清华大学深圳国际研究生院              | 'A dynamic pre-travel error prediction model for the kinematic touch trigger prob'
  PAPER-0F4340B93E53 | 陈道毅        | 清华大学深圳国际研究生院              | 'He, GJ; Chen'
  PAPER-407446945859 | 陈道毅        | 清华大学深圳国际研究生院              | 'XiaojingNiu'
  PAPER-9511BAD1BC4D | 邱亨嘉        | 清华大学深圳国际研究生院              | 'Cost-Effectiveness of Mini-Laparotomy in Patients with Colorectal Cancers: A Pro'
